04/01/2017 05:40:51.18 [Verbose] Ignore Action: New:file.Copy(C:\KRC\Roboter\RDC\401195.cal), 1500. MD5 check is identical!
04/01/2017 05:40:51.20 [Verbose] Ignore Action: New:file.Copy(C:\KRC\Roboter\RDC\RobotData.xml), 1500. MD5 check is identical!
04/01/2017 05:40:51.20 [Verbose] Ignore Action: New:file.Copy(C:\KRC\Roboter\RDC\RobotInfo.xml), 1500. MD5 check is identical!
04/01/2017 05:40:51.20 [Verbose] Ignore Action: New:file.Copy(C:\KRC\Roboter\RDC\MaintenanceLog.xml), 1500. MD5 check is identical!
04/01/2017 05:40:51.20 [Verbose] Ignore Action: New:file.Copy(C:\KRC\Roboter\RDC\RdcDirectoryContents.txt), 1500. MD5 check is identical!
04/01/2017 05:40:51.22 [Verbose] Ignore Action: New:file.Copy(C:\KRC\temp\ToDo.dat), 1500. MD5 check is identical!
04/01/2017 05:40:51.22 [Verbose] Ignore Action: New:file.Copy(C:\KRC\SmartHMI\SmartHMI.exe.DAI_AG_Spot.config), 1500. MD5 check is identical!
04/01/2017 05:40:51.22 [Verbose] Ignore Action: New:file.Copy(C:\KRC\DATA\DAI_AG_Spot.kxr), 1500. MD5 check is identical!
04/01/2017 05:40:51.22 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\BackupManager.User.config), 1500. MD5 check is identical!
04/01/2017 05:40:51.22 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\Measurement.Points.cfg), 1500. MD5 check is identical!
04/01/2017 05:40:51.22 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\CheckingPosCorrection.cfg), 1500. MD5 check is identical!
04/01/2017 05:40:51.23 [Verbose] Ignore Action: New:file.Copy(C:\KRC\temp\ChangeLog.dat), 1500. MD5 check is identical!
04/01/2017 05:40:51.23 [Verbose] Ignore Action: New:file.Copy(C:\KRC\TP\USERTECH\TEMPLATE\DAI_AG_Spottech.KFD), 1500. MD5 check is identical!
04/01/2017 05:40:51.23 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\KLMDigitalIO.WriteProtectedOutputs.cfg), 1500. MD5 check is identical!
04/01/2017 05:40:51.23 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\PMService.user.config), 1500. MD5 check is identical!
04/01/2017 05:40:51.25 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\MaintenanceHandBook.User.config), 1500. MD5 check is identical!
04/01/2017 05:40:51.25 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\ProjectExternalFileList.xml), 1500. MD5 check is identical!
04/01/2017 05:40:51.25 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\SmartHMI.User.config), 1500. MD5 check is identical!
04/01/2017 05:40:51.25 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\Settings.xml), 1500. MD5 check is identical!
04/01/2017 05:40:51.25 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\KukaPMService.User.config), 1500. MD5 check is identical!
04/01/2017 05:40:51.25 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\ConfigMon.ini), 1500. MD5 check is identical!
04/01/2017 05:40:51.26 [Verbose] Ignore Action: New:file.Copy(C:\KRC\Roboter\RDC\prec_rob0000401195.xml), 1500. MD5 check is identical!
04/01/2017 05:40:51.26 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\Cross3.User.config), 1500. MD5 check is identical!
04/01/2017 05:40:51.26 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\InstallTech.cfg), 1500. MD5 check is identical!
04/01/2017 05:40:51.26 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\InitialProjectSetup.User.config), 1500. MD5 check is identical!
04/01/2017 05:40:51.26 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\WaitForUserList.xml), 1500. MD5 check is identical!
04/01/2017 05:40:51.26 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\KRMSGNET\KRmsgNETSettings.xml), 1500. MD5 check is identical!
04/01/2017 05:40:51.28 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\KRMSGNET\KRmsgNETFilterSettingsTechnology.xml), 1500. MD5 check is identical!
04/01/2017 05:40:51.28 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\SafeOpCrc\SafeOpCrcConfig.xml), 1500. MD5 check is identical!
04/01/2017 05:40:51.28 [Verbose] Ignore Action: New:file.Copy(C:\KRC\SmartHMI\SmartHMI.exe.DAI_STANDARD.config), 1500. MD5 check is identical!
04/01/2017 05:40:51.28 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\TP\Gripper_SpotTech\GripperSpot.xml), 1500. MD5 check is identical!
04/01/2017 05:40:51.28 [Verbose] Ignore Action: New:file.Copy(C:\KRC\USER\KRMSGNET\KRmsgNETFilterSettingsChannel4.xml), 1500. MD5 check is identical!
